,Team,Year,R,RA
SLN2006,SLN,2006,0.348824926,0.412597608
TBA2006,TBA,2006,0.37602358,0.328285451
TEX2006,TEX,2006,0.354498411,0.352513228
TOR2006,TOR,2006,0.33431763,0.336722664
WAS2006,WAS,2006,0.352695859,0.34515517
ANA2005,ANA,2005,0.354082169,0.396687911
ARI2005,ARI,2005,0.371470129,0.40765259
ATL2005,ATL,2005,0.327024554,0.398598687
BAL2005,BAL,2005,0.349074497,0.371882716
BOS2005,BOS,2005,0.320308636,0.368680776
CHA2005,CHA,2005,0.342622624,0.387444349
CHN2005,CHN,2005,0.371169415,0.364456894
CIN2005,CIN,2005,0.372661978,0.323738674
CLE2005,CLE,2005,0.369245195,0.367082035
COL2005,COL,2005,0.380764097,0.33035433
DET2005,DET,2005,0.386498301,0.343208308
FLO2005,FLO,2005,0.379367047,0.418150847
HOU2005,HOU,2005,0.385064964,0.407865493
KCA2005,KCA,2005,0.391495395,0.330646333
LAN2005,LAN,2005,0.388510408,0.323644837
MIL2005,MIL,2005,0.385964017,0.348025931
MIN2005,MIN,2005,0.370675423,0.357092238
NYA2005,NYA,2005,0.351363498,0.374832644
NYN2005,NYN,2005,0.389709654,0.384316415
OAK2005,OAK,2005,0.398883772,0.387781906
PHI2005,PHI,2005,0.385997522,0.352379009
PIT2005,PIT,2005,0.394734931,0.37302734
SDN2005,SDN,2005,0.407691302,0.369348099
SEA2005,SEA,2005,0.35598474,0.320272558
SFN2005,SFN,2005,0.377285092,0.362258679
SLN2005,SLN,2005,0.326957536,0.390138264
TBA2005,TBA,2005,0.332427984,0.328439907
TEX2005,TEX,2005,0.340833512,0.33652767
TOR2005,TOR,2005,0.366602947,0.364827949
WAS2005,WAS,2005,0.353088352,0.357043274
ANA2004,ANA,2004,0.36067753,0.381139458
ARI2004,ARI,2004,0.389169929,0.328190445
ATL2004,ATL,2004,0.348061159,0.391092814
BAL2004,BAL,2004,0.37459312,0.378328127
BOS2004,BOS,2004,0.307436127,0.389465896
CHA2004,CHA,2004,0.385292229,0.34378482
CHN2004,CHN,2004,0.378154876,0.382521118
CIN2004,CIN,2004,0.346567901,0.354846394
CLE2004,CLE,2004,0.363449308,0.363362001
COL2004,COL,2004,0.323144072,0.352855022
DET2004,DET,2004,0.358972636,0.366391668
FLO2004,FLO,2004,0.368341415,0.379047619
HOU2004,HOU,2004,0.35181662,0.356253148
KCA2004,KCA,2004,0.420147462,0.316915626
LAN2004,LAN,2004,0.374390187,0.333373153
MIL2004,MIL,2004,0.394615671,0.379284032
MIN2004,MIN,2004,0.326125077,0.385034704
MON2004,MON,2004,0.414843978,0.39718891
NYA2004,NYA,2004,0.351682783,0.368300204
NYN2004,NYN,2004,0.394754891,0.372810795
OAK2004,OAK,2004,0.35660019,0.365362218
PHI2004,PHI,2004,0.346413874,0.335981094
PIT2004,PIT,2004,0.380599196,0.392256061
SDN2004,SDN,2004,0.354214892,0.355038963
SEA2004,SEA,2004,0.367628851,0.352646896
SFN2004,SFN,2004,0.322730574,0.350328684
SLN2004,SLN,2004,0.330046336,0.366251109
TBA2004,TBA,2004,0.365624511,0.342219796
TEX2004,TEX,2004,0.349583692,0.344528408
TOR2004,TOR,2004,0.371979716,0.353848592
ANA2003,ANA,2003,0.393300456,0.376509978
ARI2003,ARI,2003,0.40865575,0.37841759
ATL2003,ATL,2003,0.352799823,0.395004457
BAL2003,BAL,2003,0.382300242,0.341598085
BOS2003,BOS,2003,0.341397573,0.352841374
CHA2003,CHA,2003,0.370549859,0.378753345
CHN2003,CHN,2003,0.373680357,0.42187646
CIN2003,CIN,2003,0.369979009,0.326658864
CLE2003,CLE,2003,0.337845953,0.341616681
COL2003,COL,2003,0.367251386,0.339436971
DET2003,DET,2003,0.40313551,0.301644317
FLO2003,FLO,2003,0.370941624,0.399249324
HOU2003,HOU,2003,0.372371751,0.356647884
KCA2003,KCA,2003,0.352486857,0.379775585
LAN2003,LAN,2003,0.387060696,0.435340616
MIL2003,MIL,2003,0.365546218,0.307602562
MIN2003,MIN,2003,0.355496335,0.366209022
MON2003,MON,2003,0.372844715,0.403320919
NYA2003,NYA,2003,0.345939266,0.385706019
NYN2003,NYN,2003,0.372477313,0.379244444
OAK2003,OAK,2003,0.33903186,0.404010161
PHI2003,PHI,2003,0.392150895,0.36814744
PIT2003,PIT,2003,0.347244766,0.36761918
SDN2003,SDN,2003,0.372009177,0.356353345
SEA2003,SEA,2003,0.397787095,0.401738473
SFN2003,SFN,2003,0.324034115,0.380805011
SLN2003,SLN,2003,0.373484977,0.344608847
TBA2003,TBA,2003,0.375628076,0.331956761
TEX2003,TEX,2003,0.375496966,0.322561123
TOR2003,TOR,2003,0.319661944,0.348324515
ANA2002,ANA,2002,0.353920782,0.375536614
ARI2002,ARI,2002,0.372848485,0.387319885
ATL2002,ATL,2002,0.348412724,0.41255344
BAL2002,BAL,2002,0.417115516,0.313105905
BOS2002,BOS,2002,0.364743673,0.410609858
CHA2002,CHA,2002,0.385802469,0.368003342
CHN2002,CHN,2002,0.40417235,0.375713658
CIN2002,CIN,2002,0.362752268,0.342393211
CLE2002,CLE,2002,0.353221738,0.353105595
COL2002,COL,2002,0.359881304,0.351425665
DET2002,DET,2002,0.38021064,0.360363469
FLO2002,FLO,2002,0.380517141,0.368129379
HOU2002,HOU,2002,0.359796601,0.369295675
KCA2002,KCA,2002,0.384500059,0.361467903
LAN2002,LAN,2002,0.405061209,0.387832882
MIL2002,MIL,2002,0.416415618,0.342528684
MIN2002,MIN,2002,0.36234121,0.384272284
MON2002,MON,2002,0.345788192,0.343581279
NYA2002,NYA,2002,0.340432525,0.398651349
NYN2002,NYN,2002,0.384643082,0.381099635
OAK2002,OAK,2002,0.341679836,0.415257591
PHI2002,PHI,2002,0.353267431,0.356525171
PIT2002,PIT,2002,0.376934332,0.373844976
SDN2002,SDN,2002,0.407649845,0.389343331
SEA2002,SEA,2002,0.364318864,0.398002437
SFN2002,SFN,2002,0.368842923,0.385978373
SLN2002,SLN,2002,0.361253663,0.379051177
TBA2002,TBA,2002,0.391701199,0.324145117
TEX2002,TEX,2002,0.343240631,0.326880546
TOR2002,TOR,2002,0.340250254,0.364108069
ANA2001,ANA,2001,0.393462686,0.321867073
ARI2001,ARI,2001,0.387824126,0.421779929
ATL2001,ATL,2001,0.401815924,0.390926624
BAL2001,BAL,2001,0.391997772,0.336557506
BOS2001,BOS,2001,0.358912883,0.356613448
CHA2001,CHA,2001,0.324545933,0.361014054
CHN2001,CHN,2001,0.368169757,0.364919603
CIN2001,CIN,2001,0.378558831,0.313812636
CLE2001,CLE,2001,0.333577698,0.370642228
COL2001,COL,2001,0.369480893,0.349358188
DET2001,DET,2001,0.368170657,0.334714471
FLO2001,FLO,2001,0.347010083,0.376012213
HOU2001,HOU,2001,0.338299762,0.364131739
KCA2001,KCA,2001,0.374765026,0.336614003
LAN2001,LAN,2001,0.376510636,0.36691889
MIL2001,MIL,2001,0.40293627,0.367383513
MIN2001,MIN,2001,0.34675986,0.340038036
MON2001,MON,2001,0.413469689,0.386000122
NYA2001,NYA,2001,0.380162863,0.391581633
NYN2001,NYN,2001,0.377966232,0.395832251
OAK2001,OAK,2001,0.330236848,0.394035458
PHI2001,PHI,2001,0.348922649,0.357363622
PIT2001,PIT,2001,0.383664994,0.355621745
SDN2001,SDN,2001,0.394600135,0.357188469
SEA2001,SEA,2001,0.342083384,0.420165329
SFN2001,SFN,2001,0.353443347,0.383475276
SLN2001,SLN,2001,0.367937249,0.423009888
TBA2001,TBA,2001,0.366640947,0.35549849
TEX2001,TEX,2001,0.318587876,0.317084991
TOR2001,TOR,2001,0.373903456,0.363459741
ANA2000,ANA,2000,0.344993141,0.333226783
ARI2000,ARI,2000,0.353130066,0.392900416
ATL2000,ATL,2000,0.32774575,0.359645233
BAL2000,BAL,2000,0.38912212,0.37551553
BOS2000,BOS,2000,0.366488964,0.376178639
CHA2000,CHA,2000,0.357766497,0.360979076
CHN2000,CHN,2000,0.361563571,0.344791325
CIN2000,CIN,2000,0.326767057,0.365467741
CLE2000,CLE,2000,0.3397141,0.365967683
COL2000,COL,2000,0.386567697,0.328330374
DET2000,DET,2000,0.424035822,0.343253169
FLO2000,FLO,2000,0.348420865,0.341155108
HOU2000,HOU,2000,0.336031483,0.318502825
KCA2000,KCA,2000,0.316092923,0.331474844
LAN2000,LAN,2000,0.39390142,0.386788938
MIL2000,MIL,2000,0.36129995,0.351787757
MIN2000,MIN,2000,0.333333333,0.345356341
MON2000,MON,2000,0.384020877,0.358531111
NYA2000,NYA,2000,0.372460632,0.40770074
NYN2000,NYN,2000,0.384718727,0.398800265
OAK2000,OAK,2000,0.357943113,0.380546223
PHI2000,PHI,2000,0.369376439,0.349933066
PIT2000,PIT,2000,0.36726449,0.359192526
SDN2000,SDN,2000,0.371027055,0.354260395
SEA2000,SEA,2000,0.369971788,0.37298217
SFN2000,SFN,2000,0.357725775,0.403360812
SLN2000,SLN,2000,0.335963141,0.365560707
TBA2000,TBA,2000,0.365197055,0.3385462
TEX2000,TEX,2000,0.351007454,0.334829011
TOR2000,TOR,2000,0.345886924,0.382743243
ANA1999,ANA,1999,0.419032488,0.341942427
ARI1999,ARI,1999,0.360637355,0.356198433
ATL1999,ATL,1999,0.373514182,0.373733857
BAL1999,BAL,1999,0.356885871,0.374392184
BOS1999,BOS,1999,0.369636242,0.406126839
CHA1999,CHA,1999,0.352582741,0.377664254
CHN1999,CHN,1999,0.373303915,0.343196457
CIN1999,CIN,1999,0.340820596,0.365820196
CLE1999,CLE,1999,0.33142936,0.377054051
COL1999,COL,1999,0.356539394,0.348645338
DET1999,DET,1999,0.389899141,0.364332897
FLO1999,FLO,1999,0.366287899,0.340650901
HOU1999,HOU,1999,0.337565057,0.377553504
KCA1999,KCA,1999,0.361670633,0.305217796
LAN1999,LAN,1999,0.345344293,0.358377649
MIL1999,MIL,1999,0.365232633,0.345316378
MIN1999,MIN,1999,0.393459247,0.350045941
MON1999,MON,1999,0.354929674,0.353646534
NYA1999,NYA,1999,0.368427999,0.373171026
NYN1999,NYN,1999,0.347504645,0.370480977
OAK1999,OAK,1999,0.343930156,0.361993988
PHI1999,PHI,1999,0.371728248,0.356390275
PIT1999,PIT,1999,0.37557203,0.334164668
SDN1999,SDN,1999,0.379968701,0.356878646
SEA1999,SEA,1999,0.368178617,0.390444035
SFN1999,SFN,1999,0.319062181,0.349222267
SLN1999,SLN,1999,0.33865903,0.323885619
TBA1999,TBA,1999,0.373041003,0.342007762
TEX1999,TEX,1999,0.338881415,0.372328092
TOR1999,TOR,1999,0.335661256,0.360101401
ANA1998,ANA,1998,0.346784947,0.328374564
ARI1998,ARI,1998,0.395720783,0.338578727
ATL1998,ATL,1998,0.339290212,0.448688772
BAL1998,BAL,1998,0.340654608,0.386687112
BOS1998,BOS,1998,0.352584445,0.370776278
CHA1998,CHA,1998,0.360844502,0.354773876
CHN1998,CHN,1998,0.347543467,0.363931563
CIN1998,CIN,1998,0.404823045,0.37997076
CLE1998,CLE,1998,0.352909596,0.372670195
COL1998,COL,1998,0.369638,0.34004043
DET1998,DET,1998,0.37820184,0.339592006
FLO1998,FLO,1998,0.350833842,0.303525808
HOU1998,HOU,1998,0.351473923,0.346357037
KCA1998,KCA,1998,0.373836491,0.355688515
LAN1998,LAN,1998,0.353771061,0.368203503
MIL1998,MIL,1998,0.382375539,0.342744633
MIN1998,MIN,1998,0.370050796,0.356681457
MON1998,MON,1998,0.381412468,0.351426139
NYA1998,NYA,1998,0.33467798,0.431304348
NYN1998,NYN,1998,0.350243066,0.386515456
OAK1998,OAK,1998,0.368635219,0.345479429
PHI1998,PHI,1998,0.384577425,0.355946706
PIT1998,PIT,1998,0.394865503,0.3781807
SDN1998,SDN,1998,0.366221591,0.406717282
SEA1998,SEA,1998,0.343487661,0.35045585
SFN1998,SFN,1998,0.343064581,0.353603361
SLN1998,SLN,1998,0.343936984,0.338568716
TBA1998,TBA,1998,0.423516527,0.342448751
TEX1998,TEX,1998,0.357698129,0.369848485
TOR1998,TOR,1998,0.342716228,0.374360941
ANA1997,ANA,1997,0.337778671,0.326258668
ATL1997,ATL,1997,0.36939923,0.407175805
BAL1997,BAL,1997,0.357578563,0.406780216
BOS1997,BOS,1997,0.371610741,0.35523719
CHA1997,CHA,1997,0.37593985,0.360039668
CHN1997,CHN,1997,0.383497763,0.348793897
CIN1997,CIN,1997,0.345252318,0.370531963
CLE1997,CLE,1997,0.336452661,0.336481383
COL1997,COL,1997,0.344816286,0.319831946
DET1997,DET,1997,0.413595994,0.365979059
FLO1997,FLO,1997,0.365652848,0.380245588
HOU1997,HOU,1997,0.368487949,0.361512027
KCA1997,KCA,1997,0.349206349,0.355294652
LAN1997,LAN,1997,0.373847792,0.360943631
MIL1997,MIL,1997,0.378982315,0.372419682
MIN1997,MIN,1997,0.378462227,0.341413229
MON1997,MON,1997,0.369843312,0.417734401
NYA1997,NYA,1997,0.359595563,0.373537833
NYN1997,NYN,1997,0.361194528,0.375010883
OAK1997,OAK,1997,0.352708293,0.304426696
PHI1997,PHI,1997,0.379814445,0.37037037
PIT1997,PIT,1997,0.378893146,0.36551332
SDN1997,SDN,1997,0.351261744,0.333742085
SEA1997,SEA,1997,0.332869941,0.366104605
SFN1997,SFN,1997,0.326508464,0.390939094
SLN1997,SLN,1997,0.394210611,0.353229406
TEX1997,TEX,1997,0.365880337,0.347246599
TOR1997,TOR,1997,0.373975913,0.410556089
ATL1996,ATL,1996,0.383991728,0.42557199
BAL1996,BAL,1996,0.370775662,0.348922889
BOS1996,BOS,1996,0.349257663,0.336570555
CAL1996,CAL,1996,0.359531146,0.368508065
CHA1996,CHA,1996,0.345197833,0.34920857
CHN1996,CHN,1996,0.352523508,0.365734736
CIN1996,CIN,1996,0.359786093,0.337685465
CLE1996,CLE,1996,0.321012595,0.361407526
COL1996,COL,1996,0.356669364,0.330579888
DET1996,DET,1996,0.376716649,0.32412724
FLO1996,FLO,1996,0.401647287,0.420587254
HOU1996,HOU,1996,0.355032545,0.370495074
KCA1996,KCA,1996,0.339999667,0.3712484
LAN1996,LAN,1996,0.386988529,0.35437151
MIL1996,MIL,1996,0.379332726,0.353293783
MIN1996,MIN,1996,0.364774695,0.332908093
MON1996,MON,1996,0.374960431,0.351740963
NYA1996,NYA,1996,0.365000849,0.380116725
NYN1996,NYN,1996,0.338860755,0.349332002
OAK1996,OAK,1996,0.365072196,0.347489712
PHI1996,PHI,1996,0.357568851,0.359431161
PIT1996,PIT,1996,0.344135802,0.341462511
SDN1996,SDN,1996,0.377852792,0.392417721
SEA1996,SEA,1996,0.312347926,0.35129602
SFN1996,SFN,1996,0.391318624,0.345807912
SLN1996,SLN,1996,0.370316537,0.375122399
TEX1996,TEX,1996,0.327057749,0.362587708
TOR1996,TOR,1996,0.378074332,0.354827634
ATL1995,ATL,1995,0.32406127,0.410936448
BAL1995,BAL,1995,0.368410669,0.369574653
BOS1995,BOS,1995,0.310910814,0.382550783
CAL1995,CAL,1995,0.365422532,0.353950428
CHA1995,CHA,1995,0.377382964,0.327504322
CHN1995,CHN,1995,0.361922799,0.386394685
CIN1995,CIN,1995,0.349932406,0.391534607
CLE1995,CLE,1995,0.323937848,0.364236354
COL1995,COL,1995,0.348241899,0.375909243
DET1995,DET,1995,0.37245158,0.343289231
FLO1995,FLO,1995,0.370909922,0.358274712
HOU1995,HOU,1995,0.369189722,0.352312067
KCA1995,KCA,1995,0.387023052,0.389723026
LAN1995,LAN,1995,0.388635954,0.417564173
MIL1995,MIL,1995,0.370739489,0.336633571
MIN1995,MIN,1995,0.344466177,0.288674853
MON1995,MON,1995,0.359444892,0.376415012
NYA1995,NYA,1995,0.321244672,0.378063624
NYN1995,NYN,1995,0.37503171,0.343244337
OAK1995,OAK,1995,0.3570586,0.345497518
PHI1995,PHI,1995,0.403331075,0.3591692
PIT1995,PIT,1995,0.377484102,0.346693841
SDN1995,SDN,1995,0.406936128,0.353815311
SEA1995,SEA,1995,0.350358914,0.353923345
SFN1995,SFN,1995,0.351120484,0.379725086
SLN1995,SLN,1995,0.408625123,0.320594299
TEX1995,TEX,1995,0.356799727,0.376350309
TOR1995,TOR,1995,0.373745241,0.33786465
ATL1994,ATL,1994,0.37133424,0.400728383
BAL1994,BAL,1994,0.322626122,0.300858724
BOS1994,BOS,1994,0.352362949,0.373562977
CAL1994,CAL,1994,0.373224438,0.332885375
CHA1994,CHA,1994,0.323589034,0.388740804
CHN1994,CHN,1994,0.376176991,0.332640199
CIN1994,CIN,1994,0.355365175,0.3435315
CLE1994,CLE,1994,0.279093409,0.364815923
COL1994,COL,1994,0.369117406,0.337566648
DET1994,DET,1994,0.334169112,0.299410354
FLO1994,FLO,1994,0.368338907,0.369625604
HOU1994,HOU,1994,0.355279503,0.353980465
KCA1994,KCA,1994,0.357339797,0.382772148
LAN1994,LAN,1994,0.348271996,0.352962465
MIL1994,MIL,1994,0.375804785,0.314082208
MIN1994,MIN,1994,0.383480826,0.31433937
MON1994,MON,1994,0.334547908,0.383916841
NYA1994,NYA,1994,0.317500991,0.340094793
NYN1994,NYN,1994,0.349505054,0.35805377
OAK1994,OAK,1994,0.353577477,0.392681619
PHI1994,PHI,1994,0.379771343,0.341212492
PIT1994,PIT,1994,0.371395226,0.399122807
SDN1994,SDN,1994,0.379244509,0.373943696
SEA1994,SEA,1994,0.369209767,0.370680659
SFN1994,SFN,1994,0.360766046,0.345530435
SLN1994,SLN,1994,0.360698903,0.358776167
TEX1994,TEX,1994,0.348144014,0.338807924
TOR1994,TOR,1994,0.372683976,0.310880829
ATL1993,ATL,1993,0.401294643,0.390525282
BAL1993,BAL,1993,0.367009079,0.392534593
BOS1993,BOS,1993,0.375715366,0.37196222
CAL1993,CAL,1993,0.372319688,0.372775373
CHA1993,CHA,1993,0.39331158,0.372584541
CHN1993,CHN,1993,0.385572015,0.368413625
CIN1993,CIN,1993,0.400311207,0.366823936
CLE1993,CLE,1993,0.37440225,0.31639409
COL1993,COL,1993,0.404312844,0.350217677
